"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Thalassiosira_?genus_in_class_Bacillariophyceae?_ott5251200",456,167,114,276,0,0,52
"Bufo_ott187219",0,996,0,0,0,115,116
"Paranais_ott887882",8,9,4,4,0,8,13
"Branchiura_?genus_in_Lophotrochozoa?_ott790921",46,4,3,1,1,4,363
"Gianius_ott2847383",1,1,0,0,0,0,1
"Potamothrix_ott13305",20,11,7,4,0,4,89
"Ripistes_ott975577",1,1,0,0,0,1,2
"Heteromastus_ott849195",12,0,0,0,0,0,29
"Boccardiella_ott250872",9,0,0,0,0,0,11
"Salmacina_ott968520",6,0,0,0,0,0,0
"Amphicteis_ott414333",3,10,0,0,0,0,5
"Capitella_ott966426",15,287,0,0,0,0,332
"Dodecaceria_ott1067345",7,5,0,0,0,0,21
"Exogone_ott908171",13,0,0,0,0,0,30
"Harmothoe_ott1067342",162,27,60,209,0,0,829
"Hydroides_ott327392",117,0,156,0,0,0,190
"Lumbrineris_ott834687",19,24,0,0,0,0,55
"Marphysa_ott260032",65,62,0,0,0,1,317
"Myxicola_ott1015788",2,1,0,0,0,0,16
"Neanthes_ott563194",75,40,0,0,0,2,226
"Nephtys_ott336918",26,31,0,0,0,1,186
"Pomatoleios_ott377245",1,0,0,0,0,0,0
"Scolelepis_ott58639",9,2,0,0,0,0,59
"Spiophanes_ott752055",15,26,0,0,0,0,56
"Streblospio_ott347042",5,2,0,0,0,0,110
"Tanysphyrus_ott1060605",4,1,0,0,0,0,28
"Ammothea_ott605711",13,10,0,0,0,8,22
"Cygnus_ott140298",10,13,0,0,0,24,37
"Tricellaria_ott542314",1,1,0,0,0,0,4
"Cryptosula_ott411224",3,2,0,0,0,1,3
"Schizoporella_ott780192",2,2,0,0,0,1,22
"Amathia_?genus_in_Lophotrochozoa?_ott377466",15,260,0,0,0,4,342
"Watersipora_ott367038",5,6,0,0,0,1,229
"Alcyonidium_ott619649",3,2,0,0,0,0,4
"Bowerbankia_ott401890",0,0,0,0,0,0,0
"Cribrilina_ott891646",1,1,0,0,0,0,25
"Lophopodella_ott1089110",0,3,0,0,0,3,0
"Savigyniella_ott168114",0,1,0,0,0,0,0
"Tubulipora_ott442967",4,2,0,0,0,3,3
"Myxobolidae_ott412085_MRCA_of_taxa_in_Myxobolus_ott978532",465,2,9,36,0,0,0
"Carijoa_ott223051",0,35,0,0,0,2,13
"Diadumene_?genus_in_family_Diadumenidae?_ott119895",16,7,0,0,0,9,21
"Tubastraea_ott1079001",8,7,20,19,0,8,58
"Bunodeopsis_ott3674720",1,2,0,1,0,1,0
"Maeotias_ott350083",0,1,0,1,0,0,3
"Moerisia_ott358897",7,15,0,3,0,0,5
"Gonionemus_ott691178",0,15,0,0,0,0,120
"Pennaria_ott707212",7,112,0,0,0,0,15
"MRCA_of_taxa_in_Clytia_ott274816",94,133,0,0,0,0,151
"MRCA_of_taxa_in_Dynamena_ott58255",3,16,0,0,0,0,3
"Eudendrium_ott309117",6,60,0,0,0,1,7
"Plumulariidae_ott566406_MRCA_of_taxa_in_Plumularia_ott566403",93,177,0,0,0,0,80
"Sarsia_ott551392",6,51,0,0,0,1,55
"MRCA_of_taxa_in_Thyroscyphus_ott479994",2,5,0,0,0,0,1
"Turritopsis_ott566398",4,120,0,0,0,3,35
"Phyllorhiza_ott939030",9,14,0,0,0,0,31
"Drymonema_ott1045721",30,19,0,14,0,0,20
"Cassiopea_ott811884",15,11,0,0,0,0,202
"Aurelia_?genus_in_phylum_Cnidaria?_ott404483",180,192,21,135,0,7,802
"Craspedacusta_ott997626",58,8,24,35,0,2,65
"Jassa_ott1011199",4,0,0,0,0,0,596
"Grandidierella_ott203745",5,2,0,0,4,0,293
"Monocorophium_ott2984975",3,0,0,0,0,0,68
"Ampelisca_ott166911",2,0,0,0,0,0,107
"Ampithoe_ott173413",30,12,14,14,0,2,161
"Corophium_ott852801",2,0,0,0,0,0,1018
"Echinogammarus_ott989110",39,4,0,0,0,0,163
"Ericthonius_ott227565",6,2,0,0,0,0,21
"Microjassa_ott2988061",0,0,0,0,0,0,1
"Parapleustes_ott2985895",0,0,0,0,0,0,1
"Stenothoe_ott166909",1,0,0,0,0,0,11
"MRCA_of_taxa_in_Chthamalus_ott663611",268,415,254,254,0,168,3126
"Megabalanus_ott198845",19,21,1,0,0,24,86
"Daphnia_ott59084",172,418,92,201,0,964,2016
"Eubosmina_ott799133",11,81,29,29,0,2,77
"Mytilicola_ott972843",5,0,0,0,0,0,51
"Pseudodiaptomus_ott350917",29,1,11,48,0,0,163
"Argulus_ott628405",43,1,1,0,1,1,343
"Cyclops_ott850514",118,50,5,15,0,197,126
"Eurytemora_ott703986",62,2,0,0,0,2,568
"Heteropsyllus_ott2953126",0,0,0,0,0,0,13
"Megacyclops_ott706129",10,0,2,2,0,4,7
"Neoergasilus_ott2945864",1,0,0,0,0,0,1
"Nitokra_ott127533",8,0,0,0,0,0,17
"Oithona_ott840664",68,1,5,4,0,0,320
"Salmincola_ott1011853",0,0,0,0,0,0,3
"Schizopera_ott794379",0,1,0,0,0,1,45
"Skistodiaptomus_ott262139",40,40,42,42,0,0,55
"Tachidius_ott2950670",1,0,0,0,0,0,4
"Hemigrapsus_ott356745",7,84,0,0,0,8,894
"Carcinus_ott706427",7,20,0,5,0,2,1008
"Callinectes_ott1086763",5,139,0,0,0,81,1284
"Scylla_ott182918",6,389,0,7,0,55,946
"Cancer_ott706443",5,14,0,0,0,2,145
"Porcellanidae_ott211908_MRCA_of_taxa_in_Petrolisthes_ott211907",8,464,0,0,0,4,1028
"Sphaeroma_?genus_in_Opisthokonta?_ott857782",12,57,0,0,0,1,58
"Synidotea_ott456956",0,1,0,0,0,2,14
"Ligia_?genus_in_Opisthokonta?_ott907473",5,442,0,0,0,95,623
"Dynamenopsis_ott2996107",4,4,0,0,0,0,0
"Dynoides_ott2995982",6,6,0,0,0,0,0
"Joeropsis_ott405261",2,1,0,0,0,0,4
"Paranthura_ott97965",1,1,0,0,0,0,0
"Eusarsiella_ott687304",1,0,0,0,0,0,6
"Hemimysis_ott159969",8,55,0,0,0,0,215
"Nebalia_ott25454",4,0,2,0,0,1,164
"MRCA_of_taxa_in_Penaeus_ott5845",130,873,13,39,2,222,1982
"MRCA_of_taxa_in_Macrobrachium_ott736328",214,1790,60,10,0,48,2136
"Ophiactis_ott66287",9,6,0,0,0,0,465
"Glugea_ott107154",2,2,0,0,0,0,0
"Heterosporis_ott556040",0,1,0,0,0,0,0
"Sphaeromyxa_ott596338",11,0,0,0,0,0,0
"Alitta_ott961521",7,5,0,1,0,3,100
"Pseudopolydora_ott328224",27,95,0,0,0,0,35
"Tubificoides_ott767198",104,67,1,1,0,32,238
"Boccardia_ott132231",55,48,0,0,0,0,116
"Euchone_ott438509",1,1,0,0,0,0,1
"Clymenella_ott148575",5,6,0,0,0,1,22
"Sabellastarte_ott992905",5,28,0,0,0,0,33
"Janua_ott617644",1,0,0,0,0,0,0
"Perna_ott239657",115,42,272,89,0,5,404
"Ruditapes_ott244017",118,165,20,73,0,38,989
"Ceratostoma_ott586028",0,14,0,4,0,5,44
"Geukensia_ott945731",5,6,0,0,0,2,104
"Theora_ott970393",0,2,0,0,0,0,0
"Acar_ott466200",3,1,0,0,0,0,236
"Tenellia_ott136283",0,85,0,0,0,0,92
"Tritonia_?genus_in_kingdom_Archaeplastida?_ott922140",5,41,0,0,3,2,70
"Urosalpinx_ott850829",0,2,0,0,0,2,37
"Anomia_?genus_in_Lophotrochozoa?_ott923101",4,3,1,0,0,0,24
"Crucibulum_?genus_in_Nucletmycea?_ott212212",4,8,3,4,0,1,10
"Ostrea_ott969369",49,345,19,49,0,21,261
"Pinctada_ott978940",177,130,55,69,0,25,200
"Thecacera_ott760610",0,3,0,0,0,0,3
"Adula_ott685170",2,0,0,0,0,0,12
"Limnoperna_ott94514",3,1,0,0,0,0,59
"Nuttallia_ott139251",4,25,0,1,0,2,22
"MRCA_of_taxa_in_Rattus_ott271578",450,242,0,7,0,232,1683
"Zalophus_ott749640",5,3,0,0,0,15,2
"Lyrodus_ott720171",21,0,0,0,0,0,16
"Arcuatula_ott50688",8,3,1,0,0,1,81
"Gemma_ott801953",1,2,0,0,0,0,43
"Mercenaria_ott198203",14,21,3,7,0,2,182
"Mytella_ott887489",3,1,0,2,0,1,269
"Chama_ott907208",21,14,11,11,0,0,7
"Lasmigona_ott241667",0,9,0,2,2,3,43
"Pisidium_ott102604",69,449,0,0,0,0,166
"Sphaerium_ott439667",33,114,0,32,0,0,27
"Tapes_ott1037284",6,10,6,6,0,0,24
"Tridacna_ott255553",79,675,8,10,1,10,2462
"Venerupis_ott73960",10,2,6,1,0,0,3
"Littorina_ott622240",10,36,0,0,0,42,1388
"Rapana_ott410563",2,34,0,5,0,8,165
"Busycotypus_ott33661",2,1,0,0,0,0,2
"Ocinebrellus_ott726979",0,74,0,0,0,83,9
"Bithynia_ott358007",3,5,0,40,0,2,485
"Cipangopaludina_ott33664",14,150,0,0,0,8,157
"Gillia_ott2919874",0,1,0,0,0,0,0
"Hermissenda_ott159592",27,27,0,0,0,2,64
"MRCA_of_taxa_in_Nassarius_ott54415",40,509,0,13,0,164,916
"Philine_ott714769",6,71,1,1,0,0,81
"Pomacea_ott843053",90,120,1,0,0,21,1450
"Radix_ott49822",24,31,185,10,0,5,949
"Viviparus_ott821764",7,10,0,0,0,3,34
"Cuthona_ott951821",16,21,0,0,0,0,44
"Cumanotus_ott2876373",0,0,0,0,0,0,2
"Dendronotus_ott553083",7,224,0,0,0,0,255
"Eubranchus_ott896651",4,41,0,0,0,0,69
"Glossodoris_ott5870",4,49,0,0,0,7,36
"Anguillicola_ott886518",124,0,0,0,0,0,592
"Zizania_ott6052",5,5,11,8,62,0,0
"Zosteraceae_ott637476_MRCA_of_taxa_in_Zostera_ott637473",11,2,80,180,3,0,5
"Undaria_?genus_in_subkingdom_SAR?_ott495530",8,7,34,29,4,0,46
"Achillea_ott828101",35,0,128,96,261,0,0
"Aegopodium_ott626557",0,0,20,18,5,0,0
"Agrostis_ott765663",109,6,178,159,75,0,0
"Alliaria_ott647374",0,2,23,17,14,0,0
"Allium_ott781603",367,115,1916,1837,2837,0,4
"Alnus_ott791135",106,48,174,163,42,0,0
"Alopecurus_ott592847",8,6,55,44,47,0,0
"Alternanthera_ott202139",29,3,19,11,59,0,0
"Amaranthus_ott317808",281,9,355,328,126,0,0
"Ambrosia_ott601709",16,5,23,9,30,0,0
"Ammophila_?genus_in_kingdom_Archaeplastida?_ott345181",13,3,8,8,8,0,172
"Andropogon_ott1040674",3,68,10,4,18,0,0
"Anthriscus_ott105025",2,2,30,23,67,0,0
"Arenaria_?genus_in_kingdom_Archaeplastida?_ott842196",91,3,146,136,392,4,21
"Armoracia_ott309270",0,0,4,1,3,0,0
"Artemisia_ott465444",388,61,1191,473,565,1,2
"Arundo_ott659311",1,7,13,7,241,0,0
"Atriplex_ott892390",44,3,153,118,53,0,0
"Barbarea_ott35918",3,2,22,16,8,0,0
"Batis_?genus_in_kingdom_Archaeplastida?_ott532270",3,1,0,0,0,0,11
"Betula_ott267715",25,35,304,274,128,0,7
"Bidens_ott759041",20,62,288,250,180,0,0
"MRCA_of_taxa_in_Boehmeria_ott594987",59,7,113,95,200,0,0
"Brachiaria_ott861075",5,4,11,11,14,0,0
"Butomus_ott1027656",6,4,2,2,3,0,3
"Cabomba_ott10947",5,9,9,5,21,0,1
"Callitriche_ott1080799",41,0,54,40,228,0,1
