"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Sphacelaria_ott213048",7,0,3,3,0,0,7
"Stephanodiscus_ott422805",24,2,12,9,0,0,0
"Thalassiosira_?genus_in_class_Bacillariophyceae?_ott5251200",100,100,100,100,0,0,52
"Bufo_ott187219",0,100,0,0,0,100,100
"Paranais_ott887882",8,9,4,4,0,8,13
"Branchiura_?genus_in_Lophotrochozoa?_ott790921",46,4,3,1,1,4,100
"Gianius_ott2847383",1,1,0,0,0,0,1
"Potamothrix_ott13305",20,11,7,4,0,4,89
"Ripistes_ott975577",1,1,0,0,0,1,2
"Heteromastus_ott849195",12,0,0,0,0,0,29
"Boccardiella_ott250872",9,0,0,0,0,0,11
"Salmacina_ott968520",6,0,0,0,0,0,0
"Amphicteis_ott414333",3,10,0,0,0,0,5
"Capitella_ott966426",15,100,0,0,0,0,100
"Dodecaceria_ott1067345",7,5,0,0,0,0,21
"Exogone_ott908171",13,0,0,0,0,0,30
"Harmothoe_ott1067342",100,27,60,100,0,0,100
"Hydroides_ott327392",100,0,100,0,0,0,100
"Lumbrineris_ott834687",19,24,0,0,0,0,55
"Marphysa_ott260032",65,62,0,0,0,1,100
"Myxicola_ott1015788",2,1,0,0,0,0,16
"Neanthes_ott563194",75,40,0,0,0,2,100
"Nephtys_ott336918",26,31,0,0,0,1,100
"Pomatoleios_ott377245",1,0,0,0,0,0,0
"Scolelepis_ott58639",9,2,0,0,0,0,59
"Spiophanes_ott752055",15,26,0,0,0,0,56
"Streblospio_ott347042",5,2,0,0,0,0,100
"Tanysphyrus_ott1060605",4,1,0,0,0,0,28
"Ammothea_ott605711",13,10,0,0,0,8,22
"Cygnus_ott140298",10,13,0,0,0,24,37
"Tricellaria_ott542314",1,1,0,0,0,0,4
"Cryptosula_ott411224",3,2,0,0,0,1,3
"Schizoporella_ott780192",2,2,0,0,0,1,22
"Amathia_?genus_in_Lophotrochozoa?_ott377466",15,100,0,0,0,4,100
"Watersipora_ott367038",5,6,0,0,0,1,100
"Alcyonidium_ott619649",3,2,0,0,0,0,4
"Bowerbankia_ott401890",0,0,0,0,0,0,0
"Cribrilina_ott891646",1,1,0,0,0,0,25
"Lophopodella_ott1089110",0,3,0,0,0,3,0
"Savigyniella_ott168114",0,1,0,0,0,0,0
"Tubulipora_ott442967",4,2,0,0,0,3,3
"Myxobolidae_ott412085_MRCA_of_taxa_in_Myxobolus_ott978532",100,2,9,36,0,0,0
"Carijoa_ott223051",0,35,0,0,0,2,13
"Diadumene_?genus_in_family_Diadumenidae?_ott119895",16,7,0,0,0,9,21
"Tubastraea_ott1079001",8,7,20,19,0,8,58
"Bunodeopsis_ott3674720",1,2,0,1,0,1,0
"Maeotias_ott350083",0,1,0,1,0,0,3
"Moerisia_ott358897",7,15,0,3,0,0,5
"Gonionemus_ott691178",0,15,0,0,0,0,100
"Pennaria_ott707212",7,100,0,0,0,0,15
"MRCA_of_taxa_in_Clytia_ott274816",94,100,0,0,0,0,100
"MRCA_of_taxa_in_Dynamena_ott58255",3,16,0,0,0,0,3
"Eudendrium_ott309117",6,60,0,0,0,1,7
"Plumulariidae_ott566406_MRCA_of_taxa_in_Plumularia_ott566403",93,100,0,0,0,0,80
"Sarsia_ott551392",6,51,0,0,0,1,55
"MRCA_of_taxa_in_Thyroscyphus_ott479994",2,5,0,0,0,0,1
"Turritopsis_ott566398",4,100,0,0,0,3,35
"Phyllorhiza_ott939030",9,14,0,0,0,0,31
"Drymonema_ott1045721",30,19,0,14,0,0,20
"Cassiopea_ott811884",15,11,0,0,0,0,100
"Aurelia_?genus_in_phylum_Cnidaria?_ott404483",100,100,21,100,0,7,100
"Craspedacusta_ott997626",58,8,24,35,0,2,65
"Jassa_ott1011199",4,0,0,0,0,0,100
"Grandidierella_ott203745",5,2,0,0,4,0,100
"Monocorophium_ott2984975",3,0,0,0,0,0,68
"Ampelisca_ott166911",2,0,0,0,0,0,100
"Ampithoe_ott173413",30,12,14,14,0,2,100
"Corophium_ott852801",2,0,0,0,0,0,100
"Echinogammarus_ott989110",39,4,0,0,0,0,100
"Ericthonius_ott227565",6,2,0,0,0,0,21
"Microjassa_ott2988061",0,0,0,0,0,0,1
"Parapleustes_ott2985895",0,0,0,0,0,0,1
"Stenothoe_ott166909",1,0,0,0,0,0,11
"MRCA_of_taxa_in_Chthamalus_ott663611",100,100,100,100,0,100,100
"Megabalanus_ott198845",19,21,1,0,0,24,86
"Daphnia_ott59084",100,100,92,100,0,100,100
"Eubosmina_ott799133",11,81,29,29,0,2,77
"Mytilicola_ott972843",5,0,0,0,0,0,51
"Pseudodiaptomus_ott350917",29,1,11,48,0,0,100
"Argulus_ott628405",43,1,1,0,1,1,100
"Cyclops_ott850514",100,50,5,15,0,100,100
"Eurytemora_ott703986",62,2,0,0,0,2,100
"Heteropsyllus_ott2953126",0,0,0,0,0,0,13
"Megacyclops_ott706129",10,0,2,2,0,4,7
"Neoergasilus_ott2945864",1,0,0,0,0,0,1
"Nitokra_ott127533",8,0,0,0,0,0,17
"Oithona_ott840664",68,1,5,4,0,0,100
"Salmincola_ott1011853",0,0,0,0,0,0,3
"Schizopera_ott794379",0,1,0,0,0,1,45
"Skistodiaptomus_ott262139",40,40,42,42,0,0,55
"Tachidius_ott2950670",1,0,0,0,0,0,4
"Hemigrapsus_ott356745",7,84,0,0,0,8,100
"Carcinus_ott706427",7,20,0,5,0,2,100
"Callinectes_ott1086763",5,100,0,0,0,81,100
"Scylla_ott182918",6,100,0,7,0,55,100
"Cancer_ott706443",5,14,0,0,0,2,100
"Porcellanidae_ott211908_MRCA_of_taxa_in_Petrolisthes_ott211907",8,100,0,0,0,4,100
"Sphaeroma_?genus_in_Opisthokonta?_ott857782",12,57,0,0,0,1,58
"Synidotea_ott456956",0,1,0,0,0,2,14
"Ligia_?genus_in_Opisthokonta?_ott907473",5,100,0,0,0,95,100
"Dynamenopsis_ott2996107",4,4,0,0,0,0,0
"Dynoides_ott2995982",6,6,0,0,0,0,0
"Joeropsis_ott405261",2,1,0,0,0,0,4
"Paranthura_ott97965",1,1,0,0,0,0,0
"Eusarsiella_ott687304",1,0,0,0,0,0,6
"Hemimysis_ott159969",8,55,0,0,0,0,100
"Nebalia_ott25454",4,0,2,0,0,1,100
"MRCA_of_taxa_in_Penaeus_ott5845",100,100,13,39,2,100,100
"MRCA_of_taxa_in_Macrobrachium_ott736328",100,100,60,10,0,48,100
"Ophiactis_ott66287",9,6,0,0,0,0,100
"Glugea_ott107154",2,2,0,0,0,0,0
"Heterosporis_ott556040",0,1,0,0,0,0,0
"Sphaeromyxa_ott596338",11,0,0,0,0,0,0
"Alitta_ott961521",7,5,0,1,0,3,100
"Pseudopolydora_ott328224",27,95,0,0,0,0,35
"Tubificoides_ott767198",100,67,1,1,0,32,100
"Boccardia_ott132231",55,48,0,0,0,0,100
"Euchone_ott438509",1,1,0,0,0,0,1
"Clymenella_ott148575",5,6,0,0,0,1,22
"Sabellastarte_ott992905",5,28,0,0,0,0,33
"Janua_ott617644",1,0,0,0,0,0,0
"Perna_ott239657",100,42,100,89,0,5,100
"Ruditapes_ott244017",100,100,20,73,0,38,100
"Ceratostoma_ott586028",0,14,0,4,0,5,44
"Geukensia_ott945731",5,6,0,0,0,2,100
"Theora_ott970393",0,2,0,0,0,0,0
"Acar_ott466200",3,1,0,0,0,0,100
"Tenellia_ott136283",0,85,0,0,0,0,92
"Tritonia_?genus_in_kingdom_Archaeplastida?_ott922140",5,41,0,0,3,2,70
"Urosalpinx_ott850829",0,2,0,0,0,2,37
"Anomia_?genus_in_Lophotrochozoa?_ott923101",4,3,1,0,0,0,24
"Crucibulum_?genus_in_Nucletmycea?_ott212212",4,8,3,4,0,1,10
"Ostrea_ott969369",49,100,19,49,0,21,100
"Pinctada_ott978940",100,100,55,69,0,25,100
"Thecacera_ott760610",0,3,0,0,0,0,3
"Adula_ott685170",2,0,0,0,0,0,12
"Limnoperna_ott94514",3,1,0,0,0,0,59
"Nuttallia_ott139251",4,25,0,1,0,2,22
"MRCA_of_taxa_in_Rattus_ott271578",100,100,0,7,0,100,100
"Zalophus_ott749640",5,3,0,0,0,15,2
"Lyrodus_ott720171",21,0,0,0,0,0,16
"Arcuatula_ott50688",8,3,1,0,0,1,81
"Gemma_ott801953",1,2,0,0,0,0,43
"Mercenaria_ott198203",14,21,3,7,0,2,100
"Mytella_ott887489",3,1,0,2,0,1,100
"Chama_ott907208",21,14,11,11,0,0,7
"Lasmigona_ott241667",0,9,0,2,2,3,43
"Pisidium_ott102604",69,100,0,0,0,0,100
"Sphaerium_ott439667",33,100,0,32,0,0,27
"Tapes_ott1037284",6,10,6,6,0,0,24
"Tridacna_ott255553",79,100,8,10,1,10,100
"Venerupis_ott73960",10,2,6,1,0,0,3
"Littorina_ott622240",10,36,0,0,0,42,100
"Rapana_ott410563",2,34,0,5,0,8,100
"Busycotypus_ott33661",2,1,0,0,0,0,2
"Ocinebrellus_ott726979",0,74,0,0,0,83,9
"Bithynia_ott358007",3,5,0,40,0,2,100
"Cipangopaludina_ott33664",14,100,0,0,0,8,100
"Gillia_ott2919874",0,1,0,0,0,0,0
"Hermissenda_ott159592",27,27,0,0,0,2,64
"MRCA_of_taxa_in_Nassarius_ott54415",40,100,0,13,0,100,100
"Philine_ott714769",6,71,1,1,0,0,81
"Pomacea_ott843053",90,100,1,0,0,21,100
"Radix_ott49822",24,31,100,10,0,5,100
"Viviparus_ott821764",7,10,0,0,0,3,34
"Cuthona_ott951821",16,21,0,0,0,0,44
"Cumanotus_ott2876373",0,0,0,0,0,0,2
"Dendronotus_ott553083",7,100,0,0,0,0,100
"Eubranchus_ott896651",4,41,0,0,0,0,69
"Glossodoris_ott5870",4,49,0,0,0,7,36
"Anguillicola_ott886518",100,0,0,0,0,0,100
