speciesgenus,Genus,Family,order,class,phylum,domain
Salmo trutta,Salmo,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Salvelinus alpinus,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Salvelinus fontinalis,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Scardinius erythrophthalmus,Scardinius,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Tinca tinca,Tinca,Tincidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Danio rerio,Danio,Danionidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Mylopharyngodon piceus,Mylopharyngodon,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Alexandrium ostenfeldii,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,NA,NA
Alexandrium tamarense,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,NA,NA
Corbula,Corbula,Corbulidae,Myida,Bivalvia,Mollusca,Eukaryota
Myriophyllum spicatum,Myriophyllum,Haloragaceae,Saxifragales,Magnoliopsida,Streptophyta,Eukaryota
Botryllus schlosseri,Botryllus,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Botrylloides violaceus,Botrylloides,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Mya arenaria,Mya,Myidae,Myida,Bivalvia,Mollusca,Eukaryota
Asparagopsis armata,Asparagopsis,Bonnemaisoniaceae,Bonnemaisoniales,Florideophyceae,Rhodophyta,Eukaryota
Oreochromis mossambicus,Oreochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Charybdis hellerii,Charybdis,Portunidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Rangia cuneata,Rangia,Mactridae,Venerida,Bivalvia,Mollusca,Eukaryota
Belonesox belizanus,Belonesox,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,Eukaryota
Dorosoma petenense,Dorosoma,Clupeidae,Clupeiformes,Actinopteri,Chordata,Eukaryota
Eriocheir sinensis,Eriocheir,Varunidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Monopterus albus,Monopterus,Synbranchidae,Synbranchiformes,Actinopteri,Chordata,Eukaryota
Lepomis macrochirus,Lepomis,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,Eukaryota
Acanthophora spicifera,Acanthophora,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Eukaryota
Microspongium globosum,Microspongium,Chordariaceae,Ectocarpales,Phaeophyceae,NA,NA
Alepes djedaba,Alepes,Carangidae,Carangiformes,Actinopteri,Chordata,Eukaryota
Avrainvillea,Avrainvillea,Dichotomosiphonaceae,Bryopsidales,Ulvophyceae,Chlorophyta,Eukaryota
Cladophora sericea,Cladophora,Cladophoraceae,Cladophorales,Ulvophyceae,Chlorophyta,Eukaryota
Dictyosphaeria cavernosa,Dictyosphaeria,Siphonocladaceae,Cladophorales,Ulvophyceae,Chlorophyta,Eukaryota
Fucus cottoni,Fucus,Fucaceae,Fucales,Phaeophyceae,NA,NA
Gracilaria salicornia,Gracilaria,Gracilariaceae,Gracilariales,Florideophyceae,Rhodophyta,Eukaryota
Grateloupia filicina,Grateloupia,Halymeniaceae,Halymeniales,Florideophyceae,Rhodophyta,Eukaryota
Hypnea musciformis,Hypnea,Hypneaceae,Gigartinales,Florideophyceae,Rhodophyta,Eukaryota
Kappaphycus alvarezii,Kappaphycus,Solieriaceae,Gigartinales,Florideophyceae,Rhodophyta,Eukaryota
Neosiphonia,Neosiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Eukaryota
Ulva fasciata,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Eukaryota
Antithamnion nipponicum,Antithamnion,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta,Eukaryota
Asparagopsis taxiformis,Asparagopsis,Bonnemaisoniaceae,Bonnemaisoniales,Florideophyceae,Rhodophyta,Eukaryota
Gymnodinium catenatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,NA,NA
Antithamnionella spirographidis,Antithamnionella,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta,Eukaryota
Bryopsis pennata,Bryopsis,Bryopsidaceae,Bryopsidales,Ulvophyceae,Chlorophyta,Eukaryota
Gracilaria tikvahiae,Gracilaria,Gracilariaceae,Gracilariales,Florideophyceae,Rhodophyta,Eukaryota
Grateloupia turuturu,Grateloupia,Halymeniaceae,Halymeniales,Florideophyceae,Rhodophyta,Eukaryota
Macrocystis integrifolia,Macrocystis,Laminariaceae,Laminariales,Phaeophyceae,NA,NA
Polysiphonia,Polysiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Eukaryota
Actinocyclus,Actinocyclus,Hemidiscaceae,Coscinodiscales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Aureococcus anophagefferens,Aureococcus,NA,Pelagomonadales,Pelagophyceae,NA,NA
Aureoumbra lagunensis,Aureoumbra,NA,Pelagomonadales,Pelagophyceae,NA,NA
Bangia atropurpurea,Bangia,Bangiaceae,Bangiales,Bangiophyceae,Rhodophyta,Eukaryota
Caulacanthus ustulatus,Caulacanthus,Caulacanthaceae,Gigartinales,Florideophyceae,Rhodophyta,Eukaryota
Caulerpa serrulata,Caulerpa,Caulerpaceae,Bryopsidales,Ulvophyceae,Chlorophyta,Eukaryota
Chaetoceros muellerii,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Chroodactylon,Chroodactylon,Porphyridiaceae,Porphyridiales,Bangiophyceae,Rhodophyta,Eukaryota
Cyclotella atomus,Cyclotella,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Cyclotella cryptica,Cyclotella,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Cyclotella pseudostelligera,Cyclotella,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Cyclotella,Cyclotella,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Cylindrospermopsis raciborskii,Cylindrospermopsis,Aphanizomenonaceae,Nostocales,NA,Cyanobacteria,Bacteria
Diatoma,Diatoma,Fragilariaceae,Fragilariales,Fragilariophyceae,Bacillariophyta,Eukaryota
Didymosphenia geminata,Didymosphenia,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,Eukaryota
Enteromorpha flexuosa,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Eukaryota
Enteromorpha intestinalis,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Eukaryota
Enteromorpha prolifera,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Eukaryota
Hymenomonas,Hymenomonas,Hymenomonadaceae,Coccolithales,Haptophyta,Haptista,Eukaryota
Nitellopsis obtusa,Nitellopsis,Characeae,Charales,Charophyceae,Streptophyta,Eukaryota
Pleurosira laevis,Pleurosira,Triceratiaceae,Triceratiales,Mediophyceae,Bacillariophyta,Eukaryota
Skeletonema potamos,Skeletonema,Skeletonemataceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Skeletonema subsalsum,Skeletonema,Skeletonemataceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Sphacelaria,Sphacelaria,Sphacelariaceae,Sphacelariales,Phaeophyceae,NA,NA
Sphacelaria,Sphacelaria,Sphacelariaceae,Sphacelariales,Phaeophyceae,NA,NA
Stephanodiscus binderanus,Stephanodiscus,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Stephanodiscus,Stephanodiscus,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Thalassiosira baltica,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Thalassiosira,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Thalassiosira,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Thalassiosira pseudonana,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Thalassiosira,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,Eukaryota
Bufo,Bufo,Bufonidae,Anura,Amphibia,Chordata,Eukaryota
Paranais frici,Paranais,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Branchiura sowerbyi,Branchiura,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Gianius aquaedulcis,Gianius,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Potamothrix bedoti,Potamothrix,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Potamothrix moldaviensis,Potamothrix,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Potamothrix vejdovskyi,Potamothrix,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Ripistes parasita,Ripistes,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Heteromastus filiformis,Heteromastus,Capitellidae,NA,Polychaeta,Annelida,Eukaryota
Polydora cornuta,Polydora,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Boccardiella ligerica,Boccardiella,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Salmacina,Salmacina,Serpulidae,Sabellida,Polychaeta,Annelida,Eukaryota
Amphicteis,Amphicteis,Ampharetidae,Terebellida,Polychaeta,Annelida,Eukaryota
Capitella capitata,Capitella,Capitellidae,NA,Polychaeta,Annelida,Eukaryota
Dodecaceria concharum,Dodecaceria,Cirratulidae,Terebellida,Polychaeta,Annelida,Eukaryota
Exogone,Exogone,Syllidae,Phyllodocida,Polychaeta,Annelida,Eukaryota
Harmothoe imbricata,Harmothoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,Eukaryota
Hydroides brachyacantha,Hydroides,Serpulidae,Sabellida,Polychaeta,Annelida,Eukaryota
Lumbrineris japonica,Lumbrineris,Lumbrineridae,Eunicida,Polychaeta,Annelida,Eukaryota
Marphysa sanguinea,Marphysa,Eunicidae,Eunicida,Polychaeta,Annelida,Eukaryota
Myxicola,Myxicola,Sabellidae,Sabellida,Polychaeta,Annelida,Eukaryota
Neanthes acuminata,Neanthes,Nereididae,Phyllodocida,Polychaeta,Annelida,Eukaryota
Neanthes,Neanthes,Nereididae,Phyllodocida,Polychaeta,Annelida,Eukaryota
Neanthes,Neanthes,Nereididae,Phyllodocida,Polychaeta,Annelida,Eukaryota
Nephtys longosetosa,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,Eukaryota
Polydora,Polydora,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Pomatoleios kraussii,Pomatoleios,Serpulidae,Sabellida,Polychaeta,Annelida,Eukaryota
Scolelepis squamata,Scolelepis,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Spiophanes,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Streblospio benedicti,Streblospio,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Acentropus niveus,NA,NA,NA,NA,NA,NA
Tanysphyrus lemnae,Tanysphyrus,Brachyceridae,Coleoptera,Insecta,Arthropoda,Eukaryota
Ammothea hilgendorfi,Ammothea,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Eukaryota
Cygnus olor,Cygnus,Anatidae,Anseriformes,Aves,Chordata,Eukaryota
Tricellaria inopinata,Tricellaria,Candidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Victorella pavida,NA,NA,NA,NA,NA,NA
Cryptosula pallasiana,Cryptosula,Cryptosulidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Schizoporella,Schizoporella,Schizoporellidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Amathia distans,Amathia,Vesiculariidae,Ctenostomatida,Gymnolaemata,Bryozoa,Eukaryota
Schizoporella errata,Schizoporella,Schizoporellidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Watersipora arcuata,Watersipora,Watersiporidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Alcyonidium gelatinosum,Alcyonidium,Alcyonidiidae,Ctenostomatida,Gymnolaemata,Bryozoa,Eukaryota
Barentsia benedeni,Barentsia,Barentsiidae,NA,NA,Entoprocta,Eukaryota
Bowerbankia,Bowerbankia,Vesiculariidae,Ctenostomatida,Gymnolaemata,Bryozoa,Eukaryota
Bowerbankia,Bowerbankia,Vesiculariidae,Ctenostomatida,Gymnolaemata,Bryozoa,Eukaryota
Bugula,Bugula,Bugulidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Bugula pacifica,Bugula,Bugulidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Cribrilina,Cribrilina,Cribrilinidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Lophopodella carteri,Lophopodella,Lophopodidae,NA,Phylactolaemata,Bryozoa,Eukaryota
Membranipora,Membranipora,Membraniporidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Poricella robusta,NA,NA,NA,NA,NA,NA
Savigyniella lafonti,Savigyniella,Savignyellidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Tubulipora,Tubulipora,Tubuliporidae,Tubuliporida,Stenolaemata,Bryozoa,Eukaryota
Watersipora subtorquata,Watersipora,Watersiporidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Myxobolus cerebralis,Myxobolus,Myxobolidae,Bivalvulida,Myxozoa,Cnidaria,Eukaryota
Carijoa riisei,Carijoa,Clavulariidae,Alcyonacea,Anthozoa,Cnidaria,Eukaryota
Diadumene lineata,Diadumene,Diadumenidae,Actiniaria,Anthozoa,Cnidaria,Eukaryota
Tubastraea coccinea,Tubastraea,Dendrophylliidae,Scleractinia,Anthozoa,Cnidaria,Eukaryota
Bunodeopsis,Bunodeopsis,Boloceroididae,Actiniaria,Anthozoa,Cnidaria,Eukaryota
Diadumene,Diadumene,Diadumenidae,Actiniaria,Anthozoa,Cnidaria,Eukaryota
Diadumene leucolena,Diadumene,Diadumenidae,Actiniaria,Anthozoa,Cnidaria,Eukaryota
Garveia,Garveia,Bougainvilliidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Maeotias marginata,Maeotias,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,Eukaryota
Moerisia lyonsi,Moerisia,Moerisiidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Gonionemus vertens,Gonionemus,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,Eukaryota
Pennaria disticha,Pennaria,Pennariidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Campanulariidae,NA,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Clytia hemisphaerica,Clytia,Clytiidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Dynamena crisioides,Dynamena,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Eudendrium,Eudendrium,Eudendriidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Gonothyraea,Gonothyraea,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Laomedea,Laomedea,Obeliidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Obelia dichotoma,Obelia,Obeliidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Obelia longissima,Obelia,Obeliidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Obelia,Obelia,Obeliidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Plumularia strictocarpa,Plumularia,Plumulariidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Sarsia tubulosa,Sarsia,Corynidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Sertularella diaphana,Sertularella,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Thyroscyphus fruticosus,Thyroscyphus,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria,Eukaryota
Tubularia,Tubularia,Tubulariidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Turritopsis nutricula,Turritopsis,Oceaniidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Phyllorhiza punctata,Phyllorhiza,Mastigiidae,Rhizostomeae,Scyphozoa,Cnidaria,Eukaryota
Drymonema dalmatinum,Drymonema,Drymonematidae,Semaeostomeae,Scyphozoa,Cnidaria,Eukaryota
Maeotias,Maeotias,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,Eukaryota
Cassiopea andromeda,Cassiopea,Cassiopeidae,Rhizostomeae,Scyphozoa,Cnidaria,Eukaryota
Aurelia aurita,Aurelia,Ulmaridae,Semaeostomeae,Scyphozoa,Cnidaria,Eukaryota
Craspedacusta sowerbii,Craspedacusta,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,Eukaryota
Jassa marmorata,Jassa,Ischyroceridae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Grandidierella japonica,Grandidierella,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Laticorophium baconi,NA,NA,NA,NA,NA,NA
Monocorophium acherusicum,Monocorophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Monocorophium insidiosum,Monocorophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Gammarus daiberi,Gammarus,Gammaridae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Ampelisca abdita,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Ampithoe valida,Ampithoe,Ampithoidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Bemlos virgus,NA,NA,NA,NA,NA,NA
Corophium,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Corophium,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Corophium,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Corophium,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Corophium,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Corophium,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Echinogammarus ischnus,Echinogammarus,Gammaridae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Ericthonius brasiliensis,Ericthonius,Ischyroceridae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Gammarus tigrinus,Gammarus,Gammaridae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Microjassa,Microjassa,Ischyroceridae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Parapleustes,Parapleustes,Pleustidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Stenothoe,Stenothoe,Stenothoidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Balanus trigonus,Balanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Balanus,Balanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Balanus,Balanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Balanus,Balanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Chthamalus proteus,Chthamalus,Chthamalidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Balanus crenatus,Balanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Balanus glandula,Balanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Megabalanus coccopoma,Megabalanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Daphnia galeata galeata,Daphnia,Daphniidae,Diplostraca,Branchiopoda,Arthropoda,Eukaryota
Eubosmina coregoni,Eubosmina,Bosminidae,Diplostraca,Branchiopoda,Arthropoda,Eukaryota
Eubosmina maritima,Eubosmina,Bosminidae,Diplostraca,Branchiopoda,Arthropoda,Eukaryota
Mytilicola orientalis,Mytilicola,Mytilicolidae,Cyclopoida,Hexanauplia,Arthropoda,Eukaryota
Pseudodiaptomus inopinus,Pseudodiaptomus,Pseudodiaptomidae,Calanoida,Hexanauplia,Arthropoda,Eukaryota
Argulus japonicus,Argulus,Argulidae,Arguloida,Ichthyostraca,Arthropoda,Eukaryota
Cyclops strenuus,Cyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,Eukaryota
Daphnia lumholtzi,Daphnia,Daphniidae,Diplostraca,Branchiopoda,Arthropoda,Eukaryota
Eurytemora affinis,Eurytemora,Temoridae,Calanoida,Hexanauplia,Arthropoda,Eukaryota
Heteropsyllus,Heteropsyllus,Canthocamptidae,Harpacticoida,Hexanauplia,Arthropoda,Eukaryota
Megacyclops viridis,Megacyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,Eukaryota
Neoergasilus japonicus,Neoergasilus,Ergasilidae,Poecilostomatoida,Hexanauplia,Arthropoda,Eukaryota
Nippoleucon hinumensis,NA,NA,NA,NA,NA,NA
Nitokra hibernica,Nitokra,Ameiridae,Harpacticoida,Hexanauplia,Arthropoda,Eukaryota
Nitokra,Nitokra,Ameiridae,Harpacticoida,Hexanauplia,Arthropoda,Eukaryota
Oithona davisae,Oithona,Oithonidae,Cyclopoida,Hexanauplia,Arthropoda,Eukaryota
Pseudodiaptomus marinus,Pseudodiaptomus,Pseudodiaptomidae,Calanoida,Hexanauplia,Arthropoda,Eukaryota
Salmincola,Salmincola,Lernaeopodidae,Siphonostomatoida,Hexanauplia,Arthropoda,Eukaryota
Schizopera,Schizopera,Miraciidae,Harpacticoida,Hexanauplia,Arthropoda,Eukaryota
Skistodiaptomus pallidus,Skistodiaptomus,Diaptomidae,Calanoida,Hexanauplia,Arthropoda,Eukaryota
Tachidius triangularis,Tachidius,Tachidiidae,Harpacticoida,Hexanauplia,Arthropoda,Eukaryota
Hemigrapsus sanguineus,Hemigrapsus,Varunidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Carcinus maenas,Carcinus,Carcinidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Callinectes bocourti,Callinectes,Portunidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Pachygrapsus fakaravensis,Pachygrapsus,Grapsidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Scylla serrata,Scylla,Portunidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Cancer,Cancer,Cancridae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Petrolisthes armatus,Petrolisthes,Porcellanidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Sphaeroma quoianum,Sphaeroma,Sphaeromatidae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Sphaeroma terebrans,Sphaeroma,Sphaeromatidae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Synidotea laevidorsalis,Synidotea,Idoteidae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Sphaeroma walkeri,Sphaeroma,Sphaeromatidae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Ligia exotica,Ligia,Ligiidae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Dynamenopsis,Dynamenopsis,Sphaeromatidae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Dynoides,Dynoides,Sphaeromatidae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Joeropsis dubia,Joeropsis,Joeropsidae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Paranthura,Paranthura,Paranthuridae,Isopoda,Malacostraca,Arthropoda,Eukaryota
Eusarsiella,Eusarsiella,Sarsiellidae,Myodocopida,Ostracoda,Arthropoda,Eukaryota
Hemimysis anomala,Hemimysis,Mysidae,Mysida,Malacostraca,Arthropoda,Eukaryota
Nebalia,Nebalia,Nebaliidae,Leptostraca,Malacostraca,Arthropoda,Eukaryota
Litopenaeus vannamei,Penaeus,Penaeidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Macrobrachium olfersii,Macrobrachium,Palaemonidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Penaeus monodon,Penaeus,Penaeidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Caprella penantis,Caprella,Caprellidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Macrobrachium lar,Macrobrachium,Palaemonidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Macrobrachium rosenbergii,Macrobrachium,Palaemonidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Palaemon macrodactylus,Palaemon,Palaemonidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Ophiactis savignyi,Ophiactis,Ophiactidae,Amphilepidida,Ophiuroidea,Echinodermata,Eukaryota
Glugea hertwigi,Glugea,Glugeidae,NA,NA,Microsporidia,Eukaryota
Heterosporis,Heterosporis,Pleistophoridae,NA,NA,Microsporidia,Eukaryota
Sphaeromyxa sevastopoli,Sphaeromyxa,Sphaeromyxidae,Bivalvulida,Myxozoa,Cnidaria,Eukaryota
Hydroides elegans,Hydroides,Serpulidae,Sabellida,Polychaeta,Annelida,Eukaryota
Alitta succinea,Alitta,Nereididae,Phyllodocida,Polychaeta,Annelida,Eukaryota
Polydora ciliata,Polydora,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Pseudopolydora paucibranchiata,Pseudopolydora,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Tubificoides pseudogaster,Tubificoides,Naididae,Haplotaxida,Clitellata,Annelida,Eukaryota
Boccardia proboscidea,Boccardia,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Euchone,Euchone,Sabellidae,Sabellida,Polychaeta,Annelida,Eukaryota
Hydroides dirampha,Hydroides,Serpulidae,Sabellida,Polychaeta,Annelida,Eukaryota
Pseudopolydora kempi,Pseudopolydora,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Clymenella torquata,Clymenella,Maldanidae,NA,Polychaeta,Annelida,Eukaryota
Sabellastarte spectabilis,Sabellastarte,Sabellidae,Sabellida,Polychaeta,Annelida,Eukaryota
Janua pagenstecheri,Janua,Serpulidae,Sabellida,Polychaeta,Annelida,Eukaryota
Perna perna,Perna,Mytilidae,Mytiloida,Bivalvia,Mollusca,Eukaryota
Ruditapes philippinarum,Ruditapes,Veneridae,Venerida,Bivalvia,Mollusca,Eukaryota
Ceratostoma,Ceratostoma,Muricidae,Neogastropoda,Gastropoda,Mollusca,Eukaryota
Geukensia demissa,Geukensia,Mytilidae,Mytiloida,Bivalvia,Mollusca,Eukaryota
Mytilopsis sallei,Mytilopsis,Dreissenidae,Myida,Bivalvia,Mollusca,Eukaryota
Teredo,Teredo,Teredinidae,Myida,Bivalvia,Mollusca,Eukaryota
Theora lubrica,Theora,Semelidae,Cardiida,Bivalvia,Mollusca,Eukaryota
Acar plicata,Acar,Arcidae,Arcoida,Bivalvia,Mollusca,Eukaryota
Tenellia adspersa,Tenellia,Trinchesiidae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Tritonia plebeia,Tritonia,Tritoniidae,Nudibranchia,Gastropoda,Mollusca,Eukaryota
Urosalpinx cinerea,Urosalpinx,Muricidae,Neogastropoda,Gastropoda,Mollusca,Eukaryota
Anomia,Anomia,Anomiidae,Pectinida,Bivalvia,Mollusca,Eukaryota
