speciesgenus,Genus,Family,order,class,phylum,domain
Solidago sempervirens,Solidago,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Sonchus arvensis,Sonchus,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Sonchus arvensis subsp. uliginosus,Sonchus,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Sonchus asper,Sonchus,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Sorghum halepense,Sorghum,Poaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Sparganium androcladum,Sparganium,Typhaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Sparganium emersum,Sparganium,Typhaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Sparganium glomeratum,Sparganium,Typhaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Spirodela polyrhiza,Spirodela,Araceae,Alismatales,Magnoliopsida,Streptophyta,Eukaryota
Stachys palustris,Stachys,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Tamarix,Tamarix,Tamaricaceae,Caryophyllales,Magnoliopsida,Streptophyta,Eukaryota
Tradescantia pallida,Tradescantia,Commelinaceae,Commelinales,Magnoliopsida,Streptophyta,Eukaryota
Trapa natans,Trapa,Lythraceae,Myrtales,Magnoliopsida,Streptophyta,Eukaryota
Trifolium hybridum,Trifolium,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Eukaryota
Trillium erectum,Trillium,Melanthiaceae,Liliales,Magnoliopsida,Streptophyta,Eukaryota
Typha angustifolia,Typha,Typhaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Typha latifolia,Typha,Typhaceae,Poales,Magnoliopsida,Streptophyta,Eukaryota
Ulmus americana,Ulmus,Ulmaceae,Rosales,Magnoliopsida,Streptophyta,Eukaryota
Veronica beccabunga,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Veronica serpyllifolia,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Eukaryota
Viburnum opulus var. americanum,Viburnum,Adoxaceae,Dipsacales,Magnoliopsida,Streptophyta,Eukaryota
Viola blanda,Viola,Violaceae,Malpighiales,Magnoliopsida,Streptophyta,Eukaryota
Viola blanda var. palustriformis,Viola,Violaceae,Malpighiales,Magnoliopsida,Streptophyta,Eukaryota
Wisteria frutescens,Wisteria,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Eukaryota
Xanthium strumarium,Xanthium,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Bothriocephalus,Bothriocephalus,Bothriocephalidae,Bothriocephalidea,Cestoda,Platyhelminthes,Eukaryota
Dactylogyrus amphibothrium,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea,Platyhelminthes,Eukaryota
Dactylogyrus hemiamphibothrium,Dactylogyrus,Dactylogyridae,Dactylogyridea,Monogenea,Platyhelminthes,Eukaryota
Dugesia,Dugesia,Dugesiidae,Tricladida,Rhabditophora,Platyhelminthes,Eukaryota
Ichthyocotylurus pileatus,Ichthyocotylurus,Strigeidae,Diplostomida,Trematoda,Platyhelminthes,Eukaryota
Neascus,Neascus,Diplostomidae,Diplostomida,Trematoda,Platyhelminthes,Eukaryota
Scolex pleuronectis,Scolex,NA,Tetraphyllidea,Cestoda,Platyhelminthes,Eukaryota
Timoniella,Timoniella,Cryptogonimidae,Opisthorchiida,Trematoda,Platyhelminthes,Eukaryota
Trochammina hadai,Trochammina,Trochamminidae,Textulariida,NA,Foraminifera,Eukaryota
Acineta,Acineta,Acinetidae,Endogenida,Phyllopharyngea,Ciliophora,Eukaryota
Corythionella,Corythionella,Cyphoderiidae,Euglyphida,NA,Imbricatea,Eukaryota
Psammonobiotus communis,NA,NA,NA,NA,NA,NA
Psammonobiotus dziwnowi,NA,NA,NA,NA,NA,NA
Psammonobiotus linearis,NA,NA,NA,NA,NA,NA
Trypanosoma,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea,Euglenozoa,Eukaryota
Varanus indicus,Varanus,Varanidae,Squamata,Lepidosauria,Chordata,Eukaryota
Caiman crocodilus,Caiman,Alligatoridae,Crocodylia,NA,Chordata,Eukaryota
Cliona,Cliona,Clionaidae,Clionaida,Demospongiae,Porifera,Eukaryota
Gelliodes,Gelliodes,Niphatidae,Haplosclerida,Demospongiae,Porifera,Eukaryota
Mycale,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Porifera,Eukaryota
Mycale parishii,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Porifera,Eukaryota
Sigmadocia caerulea,Haliclona,Chalinidae,Haplosclerida,Demospongiae,Porifera,Eukaryota
Suberites,Suberites,Suberitidae,Suberitida,Demospongiae,Porifera,Eukaryota
Cliona celata,Cliona,Clionaidae,Clionaida,Demospongiae,Porifera,Eukaryota
Haliclona,Haliclona,Chalinidae,Haplosclerida,Demospongiae,Porifera,Eukaryota
Mycale,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Porifera,Eukaryota
Prosuberites,Prosuberites,Suberitidae,Suberitida,Demospongiae,Porifera,Eukaryota
Macrobiotus hufelandi,Macrobiotus,Macrobiotidae,Parachela,Eutardigrada,Tardigrada,Eukaryota
Milnesium tardigradum,Milnesium,Milnesiidae,Apochela,Eutardigrada,Tardigrada,Eukaryota
