"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Alexandrium tamarense SPE10-03","0","0","0","0","0","0","0","0","0","0","0"
"Alexandrium tamarense ATSP1-B","0","0","0","0","0","0","0","0","0","0","0"
"Alexandrium tamarense species complex group I","15","0","0","0","0","0","0","0","0","0","0"
"Alexandrium tamarense species complex group II","0","0","0","0","0","0","0","0","0","0","0"
"Alexandrium tamarense species complex group III","2","0","0","0","0","0","0","0","0","0","0"
"Alexandrium tamarense species complex group IV","0","0","0","0","0","0","0","0","0","0","0"
"Corbula","7","2","0","1","3","0","0","0","0","0","0"
"Myriophyllum spicatum","96","4","0","0","0","0","0","103","96","41","0"
"Botryllus schlosseri","11","0","0","7","536","5","0","0","0","0","0"
"Botrylloides violaceus","3","0","0","0","35","13","0","0","0","0","1"
"Mya arenaria","11","24","0","0","90","15","0","1","5","0","2"
"Asparagopsis armata","0","0","0","0","3","1","0","0","0","0","0"
"Oreochromis mossambicus","4","12","0","8","123","15","0","0","1","0","4"
"Charybdis hellerii","0","138","0","0","160","5","0","0","1","0","6"
"Rangia cuneata","1","5","0","0","18","3","0","0","0","0","0"
"Belonesox belizanus","0","2","0","0","9","0","0","0","0","0","1"
"Dorosoma petenense","0","8","0","0","30","1","0","0","0","0","5"
"Eriocheir sinensis","27","27","0","2","53","6","0","44","49","0","10"
"Monopterus albus","9","104","0","0","297","1","0","0","0","0","13"
"Lepomis macrochirus","1","49","0","0","55","6","0","0","0","0","20"
"Acanthophora spicifera","1","0","0","0","6","1","0","0","0","0","0"
"Microspongium globosum","0","0","0","0","0","0","0","0","0","0","0"
"Alepes djedaba","0","3","0","0","74","4","0","99","42","0","3"
"Avrainvillea","0","2","0","0","0","0","0","0","0","2","0"
"Cladophora sericea","3","0","0","0","0","0","0","0","0","0","0"
"Dictyosphaeria cavernosa","2","0","0","0","0","0","0","0","0","0","0"
"Fucus cottoni","0","0","0","0","0","0","0","0","0","0","0"
"Gracilaria salicornia","37","0","0","0","114","43","0","34","34","4","0"
"Grateloupia filicina","1","4","0","0","3","2","0","1","1","2","0"
"Hypnea musciformis","1","0","0","0","60","13","0","0","0","0","0"
"Kappaphycus alvarezii","16","2","0","0","13","60","0","21","21","0","0"
"Neosiphonia","39","0","0","0","155","6","0","0","0","0","0"
"Ulva fasciata","13","5","0","0","0","3","0","8","12","0","0"
"Antithamnion nipponicum","1","0","0","0","0","0","0","0","1","0","0"
"Asparagopsis taxiformis","0","2","0","0","40","19","0","0","0","2","0"
"Gymnodinium catenatum","14","0","0","0","13","1","0","10","10","0","0"
"Gymnodinium catenatum GC744","0","0","0","0","0","0","0","0","0","0","0"
"Antithamnionella spirographidis","1","1","0","0","0","0","0","0","0","0","0"
"Bryopsis pennata","0","0","0","0","0","0","0","0","0","0","0"
"Gracilaria tikvahiae","2","0","0","0","13","14","0","1","1","0","0"
"Grateloupia turuturu","1","1","0","0","7","0","0","1","3","1","0"
"Macrocystis integrifolia","1","2","0","0","0","2","0","9","6","2","0"
"Polysiphonia","102","0","0","0","386","165","0","0","0","15","0"
"Polysiphonia sertularioides-1","1","0","0","0","1","0","0","0","0","0","0"
"Polysiphonia sertularioides-2","1","0","0","0","1","0","0","0","0","0","0"
"Polysiphonia sertularioides-3","1","0","0","0","0","0","0","0","0","0","0"
"Actinocyclus","9","3","0","0","1","2","0","0","0","0","0"
"Aureococcus anophagefferens","45","4","0","0","0","1","0","5","4","1","0"
"Aureoumbra lagunensis","10","5","0","0","0","0","0","0","0","0","0"
"Bangia atropurpurea","14","0","0","14","1","3","0","2","3","0","0"
"Caulacanthus ustulatus","0","0","0","0","3","0","0","0","0","0","0"
"Caulerpa serrulata","10","1","0","0","0","0","0","8","7","0","0"
"Chaetoceros muellerii","15","4","0","0","0","0","0","2","1","0","0"
"Chroodactylon","3","1","0","0","0","0","0","0","0","0","0"
"Cyclotella atomus","1","0","0","0","0","0","0","2","2","0","0"
"Cyclotella cryptica","17","1","0","0","1","0","0","8","6","0","0"
"Cyclotella pseudostelligera","2","0","0","0","0","0","0","0","0","0","0"
"Cyclotella","183","3","0","0","6","0","0","90","87","0","0"
"Cylindrospermopsis raciborskii","0","15698","0","0","0","0","0","0","28","0","0"
"Cylindrospermopsis raciborskii CYP-030B","0","1","0","0","0","0","0","0","1","0","0"
"Cylindrospermopsis raciborskii CYP-026J","0","0","0","0","0","0","0","0","2","0","0"
"Cylindrospermopsis raciborskii PMC118.02","0","1","0","0","0","0","0","0","1","0","0"
"Cylindrospermopsis raciborskii PMC117.02","0","1","0","0","0","0","0","0","1","0","0"
"Cylindrospermopsis raciborskii PMC98.14","0","1","0","0","0","0","0","0","2","0","0"
"Cylindrospermopsis raciborskii PMC99.12","0","2","0","0","0","0","0","0","2","0","0"
"Cylindrospermopsis raciborskii PMC114.02","0","0","0","0","0","0","0","0","1","0","0"
"Cylindrospermopsis raciborskii PMC99.06","0","0","0","0","0","0","0","0","1","0","0"
"Cylindrospermopsis raciborskii PMC99.08","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii ATC-9502","0","2","0","0","0","0","0","0","1","0","0"
"Cylindrospermopsis raciborskii PMC00.01","0","1","0","0","0","0","0","0","2","0","0"
"Cylindrospermopsis raciborskii ITEP-A3","0","1","0","0","0","0","0","0","1","0","0"
"Cylindrospermopsis raciborskii ITEP-018","0","1","0","0","0","0","0","0","1","0","0"
"Cylindrospermopsis raciborskii FLcultureE-3","0","0","0","0","0","0","0","0","0","0","0"
