"ORGN Name","18S","16S","PITS","CO1","COI","COX1","FITS","ITS2","ITS1","trnl","12S"
"Ciona intestinalis B CG-2006","zero","zero","zero","zero","zero","Ciona intestinalis B CG-2006","zero","zero","zero","zero","Ciona intestinalis B CG-2006"
"Didemnum vexillum","Didemnum vexillum","Didemnum vexillum","zero","Didemnum vexillum","Didemnum vexillum","Didemnum vexillum","zero","zero","zero","zero","zero"
"Styela clava","Styela clava","Styela clava","zero","Styela clava","Styela clava","Styela clava","zero","zero","Styela clava","zero","Styela clava"
"Molgula manhattensis","Molgula manhattensis","zero","zero","Molgula manhattensis","Molgula manhattensis","Molgula manhattensis","zero","zero","zero","zero","zero"
"Ascidiella aspersa","Ascidiella aspersa","zero","zero","Ascidiella aspersa","Ascidiella aspersa","Ascidiella aspersa","zero","zero","zero","zero","zero"
"Styela plicata","Styela plicata","Styela plicata","zero","zero","Styela plicata","Styela plicata","zero","Styela plicata","Styela plicata","zero","Styela plicata"
"Ciona savignyi","Ciona savignyi","zero","zero","Ciona savignyi","Ciona savignyi","Ciona savignyi","zero","zero","Ciona savignyi","zero","zero"
"Diplosoma listerianum","Diplosoma listerianum","zero","zero","Diplosoma listerianum","Diplosoma listerianum","Diplosoma listerianum","zero","zero","zero","zero","zero"
"Alosa sapidissima","zero","Alosa sapidissima","zero","zero","Alosa sapidissima","Alosa sapidissima","zero","zero","zero","zero","Alosa sapidissima"
"Cichlasoma","zero","Cichlasoma","zero","Cichlasoma","Cichlasoma","Cichlasoma","zero","zero","zero","zero","Cichlasoma"
"Morone saxatilis","Morone saxatilis","Morone saxatilis","zero","zero","Morone saxatilis","Morone saxatilis","zero","zero","zero","zero","Morone saxatilis"
"Osmerus mordax","Osmerus mordax","Osmerus mordax","zero","zero","Osmerus mordax","Osmerus mordax","zero","Osmerus mordax","Osmerus mordax","Osmerus mordax","Osmerus mordax"
