"ORGN Name","18S","16S","PITS","CO1","COI","COX1","FITS","ITS2","ITS1","trnl","12S"
"Cylindrospermopsis raciborskii LG-L","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-505","zero","Cylindrospermopsis raciborskii CS-505","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-506","zero","Cylindrospermopsis raciborskii CS-506","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-507","zero","Cylindrospermopsis raciborskii CS-507","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-508","zero","Cylindrospermopsis raciborskii CS-508","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-509","zero","Cylindrospermopsis raciborskii CS-509","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-510","zero","Cylindrospermopsis raciborskii CS-510","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-511","zero","Cylindrospermopsis raciborskii CS-511","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii 1LT32S01","zero","Cylindrospermopsis raciborskii 1LT32S01","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii BM","zero","Cylindrospermopsis raciborskii BM","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB1336","zero","Cylindrospermopsis raciborskii CHAB1336","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB1351","zero","Cylindrospermopsis raciborskii CHAB1351","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB141","zero","Cylindrospermopsis raciborskii CHAB141","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB151","zero","Cylindrospermopsis raciborskii CHAB151","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB155","zero","Cylindrospermopsis raciborskii CHAB155","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB2379","zero","Cylindrospermopsis raciborskii CHAB2379","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB2380","zero","Cylindrospermopsis raciborskii CHAB2380","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB353","zero","Cylindrospermopsis raciborskii CHAB353","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB358","zero","Cylindrospermopsis raciborskii CHAB358","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB359","zero","Cylindrospermopsis raciborskii CHAB359","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB481","zero","Cylindrospermopsis raciborskii CHAB481","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB482","zero","Cylindrospermopsis raciborskii CHAB482","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii KLL07","zero","Cylindrospermopsis raciborskii KLL07","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii MG","zero","Cylindrospermopsis raciborskii MG","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CP-1","zero","Cylindrospermopsis raciborskii CP-1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CP-2","zero","Cylindrospermopsis raciborskii CP-2","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC145.02","zero","Cylindrospermopsis raciborskii PMC145.02","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC286.06","zero","Cylindrospermopsis raciborskii PMC286.06","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii MVCC14","zero","Cylindrospermopsis raciborskii MVCC14","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii MVCC19","zero","Cylindrospermopsis raciborskii MVCC19","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYL BM-02","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYL BM-07","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NB-05","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NB-07","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii SS-01","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii str. Sidi","zero","Cylindrospermopsis raciborskii str. Sidi","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii Cyl Vietnam","zero","Cylindrospermopsis raciborskii Cyl Vietnam","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LEGE 051","zero","Cylindrospermopsis raciborskii LEGE 051","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LMECYA 130","zero","Cylindrospermopsis raciborskii LMECYA 130","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CCMP1973","zero","Cylindrospermopsis raciborskii CCMP1973","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYP011K","zero","Cylindrospermopsis raciborskii CYP011K","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIES-992","zero","Cylindrospermopsis raciborskii NIES-992","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C12","zero","Cylindrospermopsis raciborskii FAS-C12","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C13","zero","Cylindrospermopsis raciborskii FAS-C13","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C14","zero","Cylindrospermopsis raciborskii FAS-C14","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C15","zero","Cylindrospermopsis raciborskii FAS-C15","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C16","zero","Cylindrospermopsis raciborskii FAS-C16","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C17","zero","Cylindrospermopsis raciborskii FAS-C17","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C18","zero","Cylindrospermopsis raciborskii FAS-C18","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C2","zero","Cylindrospermopsis raciborskii FAS-C2","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C3","zero","Cylindrospermopsis raciborskii FAS-C3","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C5","zero","Cylindrospermopsis raciborskii FAS-C5","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C7","zero","Cylindrospermopsis raciborskii FAS-C7","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C8","zero","Cylindrospermopsis raciborskii FAS-C8","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C9","zero","Cylindrospermopsis raciborskii FAS-C9","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FL-D","zero","Cylindrospermopsis raciborskii FL-D","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FL-E","zero","Cylindrospermopsis raciborskii FL-E","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FL-F","zero","Cylindrospermopsis raciborskii FL-F","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FL-I","zero","Cylindrospermopsis raciborskii FL-I","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FL-L","zero","Cylindrospermopsis raciborskii FL-L","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii str. Tarpon","zero","Cylindrospermopsis raciborskii str. Tarpon","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii UTEX LB 2897","zero","Cylindrospermopsis raciborskii UTEX LB 2897","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii UAM VCC+","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii str. Toro","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii UAM520","zero","Cylindrospermopsis raciborskii UAM520","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii UAM544","zero","Cylindrospermopsis raciborskii UAM544","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CENA302","zero","Cylindrospermopsis raciborskii CENA302","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CENA303","zero","Cylindrospermopsis raciborskii CENA303","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CENA305","zero","Cylindrospermopsis raciborskii CENA305","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CENA306","zero","Cylindrospermopsis raciborskii CENA306","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYP24c","zero","Cylindrospermopsis raciborskii CYP24c","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii GOU11","zero","Cylindrospermopsis raciborskii GOU11","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii ISG9","zero","Cylindrospermopsis raciborskii ISG9","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii KAS14","zero","Cylindrospermopsis raciborskii KAS14","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii KAS21","zero","Cylindrospermopsis raciborskii KAS21","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii KAS43","zero","Cylindrospermopsis raciborskii KAS43","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NAR12","zero","Cylindrospermopsis raciborskii NAR12","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIES-1042","zero","Cylindrospermopsis raciborskii NIES-1042","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIES-994","zero","Cylindrospermopsis raciborskii NIES-994","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii TH21","zero","Cylindrospermopsis raciborskii TH21","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii TH35","zero","Cylindrospermopsis raciborskii TH35","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii TH41","zero","Cylindrospermopsis raciborskii TH41","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii TH95","zero","Cylindrospermopsis raciborskii TH95","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii AQS","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FSS-127","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii AK1","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii AN1","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii AT1","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii AT2","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CBM","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIVA-CYA 399","zero","Cylindrospermopsis raciborskii NIVA-CYA 399","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIVA-CYA 508","zero","Cylindrospermopsis raciborskii NIVA-CYA 508","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIVA-CYA 510","zero","Cylindrospermopsis raciborskii NIVA-CYA 510","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC115.02","zero","Cylindrospermopsis raciborskii PMC115.02","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC287.06","zero","Cylindrospermopsis raciborskii PMC287.06","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC61.01","zero","Cylindrospermopsis raciborskii PMC61.01","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii str. Sidi 08","zero","Cylindrospermopsis raciborskii str. Sidi 08","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3409","zero","Cylindrospermopsis raciborskii CHAB3409","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3412","zero","Cylindrospermopsis raciborskii CHAB3412","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3424","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3425","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3438","zero","Cylindrospermopsis raciborskii CHAB3438","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3440","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB357","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB5182","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii cyDB-1","zero","Cylindrospermopsis raciborskii cyDB-1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii N3","zero","Cylindrospermopsis raciborskii N3","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii N2","zero","Cylindrospermopsis raciborskii N2","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii N1","zero","Cylindrospermopsis raciborskii N1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii SAG 1.97","zero","Cylindrospermopsis raciborskii SAG 1.97","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii N4","zero","Cylindrospermopsis raciborskii N4","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii N5","zero","Cylindrospermopsis raciborskii N5","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii N6","zero","Cylindrospermopsis raciborskii N6","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii N7","zero","Cylindrospermopsis raciborskii N7","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii N8","zero","Cylindrospermopsis raciborskii N8","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii HCy90","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB2138","zero","Cylindrospermopsis raciborskii CHAB2138","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3443","zero","Cylindrospermopsis raciborskii CHAB3443","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3446","zero","Cylindrospermopsis raciborskii CHAB3446","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3417","zero","Cylindrospermopsis raciborskii CHAB3417","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB2144","zero","Cylindrospermopsis raciborskii CHAB2144","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB362","zero","Cylindrospermopsis raciborskii CHAB362","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB477","zero","Cylindrospermopsis raciborskii CHAB477","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3445","zero","Cylindrospermopsis raciborskii CHAB3445","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3318","zero","Cylindrospermopsis raciborskii CHAB3318","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii MGL120","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3432","zero","Cylindrospermopsis raciborskii CHAB3432","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB487","zero","Cylindrospermopsis raciborskii CHAB487","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB158","zero","Cylindrospermopsis raciborskii CHAB158","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii ITEP-A1","zero","Cylindrospermopsis raciborskii ITEP-A1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB480","zero","Cylindrospermopsis raciborskii CHAB480","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii TZ-1","zero","Cylindrospermopsis raciborskii TZ-1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii TZ-2","zero","Cylindrospermopsis raciborskii TZ-2","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii UP","zero","Cylindrospermopsis raciborskii UP","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii IFCC-CR01","zero","Cylindrospermopsis raciborskii IFCC-CR01","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LP1","zero","Cylindrospermopsis raciborskii LP1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LP2","zero","Cylindrospermopsis raciborskii LP2","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii AWQC-CYP011K","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC325.07","zero","Cylindrospermopsis raciborskii PMC325.07","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC326.07","zero","Cylindrospermopsis raciborskii PMC326.07","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC327.07","zero","Cylindrospermopsis raciborskii PMC327.07","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii PMC328.07","zero","Cylindrospermopsis raciborskii PMC328.07","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii S01","zero","Cylindrospermopsis raciborskii S01","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii S05","zero","Cylindrospermopsis raciborskii S05","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii S06","zero","Cylindrospermopsis raciborskii S06","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii S07","zero","Cylindrospermopsis raciborskii S07","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii S10","zero","Cylindrospermopsis raciborskii S10","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii S14","zero","Cylindrospermopsis raciborskii S14","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii C03","zero","Cylindrospermopsis raciborskii C03","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii C04","zero","Cylindrospermopsis raciborskii C04","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii C07","zero","Cylindrospermopsis raciborskii C07","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYRF","zero","Cylindrospermopsis raciborskii CYRF","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYLP","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii T2","zero","Cylindrospermopsis raciborskii T2","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii TAU-MAC 1414","zero","Cylindrospermopsis raciborskii TAU-MAC 1414","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3426","zero","Cylindrospermopsis raciborskii CHAB3426","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii Cr2010","zero","Cylindrospermopsis raciborskii Cr2010","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FACHB-1503","zero","Cylindrospermopsis raciborskii FACHB-1503","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIES-3583","zero","Cylindrospermopsis raciborskii NIES-3583","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIES-3584","zero","Cylindrospermopsis raciborskii NIES-3584","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYL1","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYL2","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii AZ60","zero","Cylindrospermopsis raciborskii AZ60","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3422","zero","Cylindrospermopsis raciborskii CHAB3422","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB3426n","zero","Cylindrospermopsis raciborskii CHAB3426n","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CR1","zero","Cylindrospermopsis raciborskii CR1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIES-1041","zero","Cylindrospermopsis raciborskii NIES-1041","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NIES-991","zero","Cylindrospermopsis raciborskii NIES-991","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii cyAF-7","zero","Cylindrospermopsis raciborskii cyAF-7","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii cyAF-8","zero","Cylindrospermopsis raciborskii cyAF-8","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii cyDB-2","zero","Cylindrospermopsis raciborskii cyDB-2","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii GIHE 2018","zero","Cylindrospermopsis raciborskii GIHE 2018","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH1","zero","Cylindrospermopsis raciborskii QDH1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH10","zero","Cylindrospermopsis raciborskii QDH10","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH2","zero","Cylindrospermopsis raciborskii QDH2","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH3","zero","Cylindrospermopsis raciborskii QDH3","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH4","zero","Cylindrospermopsis raciborskii QDH4","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH5","zero","Cylindrospermopsis raciborskii QDH5","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH6","zero","Cylindrospermopsis raciborskii QDH6","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH7","zero","Cylindrospermopsis raciborskii QDH7","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH8","zero","Cylindrospermopsis raciborskii QDH8","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QDH9","zero","Cylindrospermopsis raciborskii QDH9","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LB2897","zero","Cylindrospermopsis raciborskii LB2897","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii R104","zero","Cylindrospermopsis raciborskii R104","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NRERC-502","zero","Cylindrospermopsis raciborskii NRERC-502","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NRERC-503","zero","Cylindrospermopsis raciborskii NRERC-503","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NRERC-501","zero","Cylindrospermopsis raciborskii NRERC-501","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NRERC-504","zero","Cylindrospermopsis raciborskii NRERC-504","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NPCS-1","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-506_D","zero","Cylindrospermopsis raciborskii CS-506_D","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-506_C","zero","Cylindrospermopsis raciborskii CS-506_C","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-506_B","zero","Cylindrospermopsis raciborskii CS-506_B","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CS-506_A","zero","Cylindrospermopsis raciborskii CS-506_A","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii C-06","zero","Cylindrospermopsis raciborskii C-06","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CHAB 3409","zero","Cylindrospermopsis raciborskii CHAB 3409","zero","zero","zero","zero","zero","zero","zero","zero","zero"
