"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Thalassiosira","456","167","0","47","5","114","276","0","0"
"Bufo","0","996","5","90","21","0","0","0","115"
"Paranais","8","9","0","12","1","4","4","0","8"
"Branchiura","46","4","7","105","251","3","1","1","4"
"Gianius","1","1","0","1","0","0","0","0","0"
"Potamothrix","20","11","0","89","0","7","4","0","4"
"Ripistes","1","1","0","2","0","0","0","0","1"
"Heteromastus","12","0","0","29","0","0","0","0","0"
"Spionidae","505","650","23","1031","102","2","0","0","13"
"Boccardiella","9","0","0","8","3","0","0","0","0"
"Salmacina","6","0","0","0","0","0","0","0","0"
"Amphicteis","3","10","0","5","0","0","0","0","0"
"Capitella","15","287","108","131","93","0","0","0","0"
"Dodecaceria","7","5","0","20","1","0","0","0","0"
"Exogone","13","0","0","30","0","0","0","0","0"
"Harmothoe","162","27","2","490","337","60","209","0","0"
"Hydroides","117","0","0","190","0","156","0","0","0"
"Lumbrineris","19","24","2","52","1","0","0","0","0"
"Marphysa","65","62","2","301","14","0","0","0","1"
"Myxicola","2","1","0","16","0","0","0","0","0"
"Neanthes","75","40","0","89","137","0","0","0","2"
"Nephtys","26","31","0","182","4","0","0","0","1"
"Pomatoleios","1","0","0","0","0","0","0","0","0"
"Scolelepis","9","2","0","56","3","0","0","0","0"
"Spiophanes","15","26","0","55","1","0","0","0","0"
"Streblospio","5","2","18","92","0","0","0","0","0"
"Tanysphyrus","4","1","0","28","0","0","0","0","0"
"Ammothea","13","10","2","12","8","0","0","0","8"
"Cygnus","10","13","3","24","10","0","0","0","24"
"Tricellaria","1","1","0","4","0","0","0","0","0"
"Cryptosula","3","2","0","2","1","0","0","0","1"
"Schizoporella","2","2","0","18","4","0","0","0","1"
"Amathia","15","260","0","341","1","0","0","0","4"
"Watersipora","5","6","0","226","3","0","0","0","1"
"Alcyonidium","3","2","0","4","0","0","0","0","0"
"Barentsia","5","0","0","1","1","0","0","0","0"
"Bowerbankia","0","0","0","0","0","0","0","0","0"
"Cribrilina","1","1","0","14","11","0","0","0","0"
"Lophopodella","0","3","0","0","0","0","0","0","3"
"Savigyniella","0","1","0","0","0","0","0","0","0"
"Tubulipora","4","2","0","1","2","0","0","0","3"
"Myxobolus","465","2","0","0","0","9","36","0","0"
"Carijoa","0","35","0","4","9","0","0","0","2"
"Diadumene","16","7","0","19","2","0","0","0","9"
"Tubastraea","8","7","0","49","9","20","19","0","8"
"Bunodeopsis","1","2","0","0","0","0","1","0","1"
"Garveia","2","3","0","1","0","0","0","0","0"
"Maeotias","0","1","0","3","0","0","1","0","0"
"Moerisia","7","15","0","5","0","0","3","0","0"
"Gonionemus","0","15","0","120","0","0","0","0","0"
"Pennaria","7","112","0","13","2","0","0","0","0"
"Clytia","94","133","0","146","5","0","0","0","0"
"Dynamena","3","16","0","2","1","0","0","0","0"
"Eudendrium","6","60","0","6","1","0","0","0","1"
"Gonothyraea","7","7","0","2","0","0","0","0","0"
"Laomedea","17","14","0","13","1","0","0","0","0"
"Obelia","47","106","0","129","8","2","2","0","0"
"Plumularia","93","177","0","75","5","0","0","0","0"
"Sarsia","6","51","0","53","2","0","0","0","1"
"Sertularella","7","58","0","0","0","0","0","0","0"
"Thyroscyphus","2","5","0","1","0","0","0","0","0"
"Tubularia","4","8","0","3","0","0","0","0","0"
"Turritopsis","4","120","0","31","4","0","0","0","3"
"Phyllorhiza","9","14","0","30","1","0","0","0","0"
"Drymonema","30","19","0","20","0","0","14","0","0"
"Cassiopea","15","11","0","188","14","0","0","0","0"
"Aurelia","180","192","0","734","68","21","135","0","7"
"Craspedacusta","58","8","0","60","5","24","35","0","2"
"Jassa","4","0","0","596","0","0","0","0","0"
"Grandidierella","5","2","0","288","5","0","0","4","0"
"Monocorophium","3","0","0","68","0","0","0","0","0"
"Gammarus","279","1412","12","4680","2756","1","200","0","165"
"Ampelisca","2","0","0","105","2","0","0","0","0"
"Ampithoe","30","12","0","157","4","14","14","0","2"
"Corophium","2","0","0","22","996","0","0","0","0"
"Echinogammarus","39","4","0","163","0","0","0","0","0"
"Ericthonius","6","2","0","21","0","0","0","0","0"
"Microjassa","0","0","0","1","0","0","0","0","0"
"Parapleustes","0","0","0","1","0","0","0","0","0"
"Stenothoe","1","0","0","7","4","0","0","0","0"
"Balanus","17","14","2","3386","4","0","0","0","26"
"Chthamalus","268","415","1","3105","20","254","254","0","168"
"Megabalanus","19","21","0","63","23","1","0","0","24"
"Daphnia","172","418","34","1834","148","92","201","0","964"
"Eubosmina","11","81","0","77","0","29","29","0","2"
