"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Pteriidae","221","152","0","194","20","58","71","0","27"
"Polyceridae","6","117","0","153","77","0","0","0","3"
"Psammobiidae","18","124","0","136","8","1","1","0","13"
"Muridae","844","3205","1385","5822","1106","6","11","0","1186"
"Otariidae","13","84","0","20","70","0","0","1","115"
"Chamidae","22","14","0","3","4","11","11","0","0"
"Unionidae","80","3056","320","7017","2700","86","369","19","217"
"Sphaeriidae","114","606","0","192","30","0","32","0","0"
"Cardiidae","209","937","151","2743","154","59","63","1","17"
"Littorinidae","58","769","0","4191","301","0","0","0","317"
"Batillariidae","4","40","0","261","4","0","0","0","4"
"Pyramidellidae","15","46","0","32","2","0","0","0","1"
"Melongenidae","9","33","0","92","1","0","0","0","8"
"Ellobiidae","78","180","26","709","94","3","0","0","58"
"Bithyniidae","4","6","553","247","95","0","44","0","2"
"Viviparidae","109","587","1","1022","193","0","0","0","24"
"Pleuroceridae","2","385","39","558","9","0","2","0","3"
"Lithoglyphidae","3","4","0","332","0","0","6","0","0"
"Glaucidae","38","232","50","316","5","0","0","0","4"
"Nassariidae","49","712","1","1890","138","0","13","0","267"
"Philinidae","6","98","1","98","10","1","1","0","0"
"Physidae","14","208","105","427","46","4","33","0","5"
"Ampullariidae","148","182","18","1620","18","1","0","0","23"
"Lymnaeidae","170","406","112","3238","263","793","161","0","12"
"Valvatidae","2","42","38","92","5","0","0","0","1"
"Cuthonidae","16","23","0","50","0","0","0","0","0"
"Cumanotidae","0","0","0","2","0","0","0","0","0"
"Dendronotidae","9","240","0","251","22","0","1","0","2"
"Eubranchidae","4","56","0","72","22","0","0","0","0"
"Chromodorididae","68","1034","1","670","89","0","1","0","35"
"Goniodorididae","3","16","0","62","0","2","0","0","0"
"Anguillicolidae","124","0","532","60","0","0","0","0","0"
"Poaceae","6179","2487","201","24","102","12052","11350","21345","36"
"Zosteraceae","13","2","0","0","5","87","187","3","0"
"Alariaceae","69","9","0","212","48","101","97","4","0"
"Asteraceae","10440","971","20","57","20","22870","20236","20855","6"
"Apiaceae","1238","302","0","2","52","6907","5881","2448","1"
"Brassicaceae","2978","971","3","0","70","9069","8153","13212","135"
"Amaryllidaceae","599","152","0","8","4","2714","2555","4513","0"
"Betulaceae","269","204","1","5","1","648","597","344","0"
"Amaranthaceae","564","34","0","0","0","806","661","764","0"
"Caryophyllaceae","1827","112","0","1","86","3157","2673","2713","0"
"Chenopodiaceae","630","89","0","2","66","1709","1522","1399","4"
"Bataceae","3","0","0","0","2","0","0","0","0"
"Urticaceae","870","55","3","0","1","855","783","1058","0"
"Butomaceae","6","4","0","0","3","2","2","3","0"
"Cabombaceae","16","13","0","0","1","19","12","45","0"
"Plantaginaceae","1396","35","0","7","48","2402","2213","3669","0"
"Bignoniaceae","161","144","0","0","56","546","490","578","0"
"Cannabaceae","351","53","0","0","7","181","149","310","0"
"Cyperaceae","1263","24","0","0","0","5076","4439","2620","0"
"Aizoaceae","178","10","0","0","1","422","478","667","0"
"Papaveraceae","153","56","0","0","0","758","499","596","2"
"Liliaceae","434","231","1","0","11","1790","1474","1550","0"
"Commelinaceae","6","6","0","0","0","11","4","384","0"
"Rosaceae","2698","785","7","16","32","6514","4729","5715","38"
"Dioscoreaceae","97","51","0","0","2","58","48","626","0"
"Dryopteridaceae","4","17","0","0","1","5","3","2252","0"
"Hydrophyllaceae","88","0","0","0","0","159","166","15","0"
"Onagraceae","273","98","0","0","0","457","279","623","0"
"Rhamnaceae","745","33","0","5","16","515","419","860","2"
"Fabaceae","12151","1049","3","28","149","17180","15418","20748","12"
"Araliaceae","1390","166","0","0","1","1607","1135","1512","0"
"Acanthaceae","480","40","0","0","4","1453","1286","1942","0"
"Balsaminaceae","119","12","0","6","0","481","418","321","0"
"Convolvulaceae","1491","145","0","0","4","1388","997","1337","4"
"Iridaceae","367","134","2","2","2","1211","1091","2048","0"
"Juncaceae","78","1","0","0","0","185","94","306","0"
"Oleaceae","718","285","0","0","23","777","810","1179","0"
"Lomentariaceae","2","0","0","72","0","0","0","0","0"
"Lamiaceae","1840","273","0","0","36","4401","2728","6395","0"
"Primulaceae","545","157","0","0","1","1904","1657","2624","0"
"Lythraceae","290","72","0","0","2","506","465","416","0"
"Marsileaceae","6","4","0","0","0","3","2","229","0"
"Molluginaceae","86","10","0","0","0","87","82","9","0"
"Moraceae","2264","67","0","1","3","1614","1495","1417","6"
"Boraginaceae","631","9","0","0","2","1179","1346","2997","0"
"Hyacinthaceae","350","11","0","0","0","563","598","927","0"
"Vitaceae","75","179","0","0","4","24","40","1932","0"
"Pinaceae","218","343","1","12","122","696","667","1685","0"
"Polygonaceae","670","107","0","13","2","1833","1175","1991","0"
"Salicaceae","260","218","2","49","17","481","293","1374","9"
"Portulacaceae","140","9","0","0","0","170","149","26","0"
"Potamogetonaceae","668","2","0","0","3","457","352","595","0"
"Ranunculaceae","1424","295","1","0","4","3494","2416","3184","4"
"Rhizophoraceae","230","14","0","0","2","254","438","603","0"
"Euphorbiaceae","1132","89","0","0","7","2869","2631","3072","25"
"Solanaceae","1598","645","4","7","153","2328","1865","3530","31"
"Typhaceae","43","8","0","4","0","45","0","226","0"
"Tamaricaceae","65","15","0","1","0","222","186","241","0"
"Melanthiaceae","323","142","0","0","1","432","365","705","0"
"Ulmaceae","213","33","0","0","1","140","205","317","0"
"Adoxaceae","60","43","0","5","6","361","320","356","0"
"Violaceae","489","18","0","0","3","902","777","843","0"
"Bothriocephalidae","204","30","7","14","106","135","142","0","3"
"Dactylogyridae","281","2","1","450","6","1","277","0","2"
"Dugesiidae","188","9","0","585","475","2","148","0","9"
"Strigeidae","62","7","353","267","41","33","30","0","0"
"Diplostomidae","224","2","159","1627","136","184","280","0","3"
"Cryptogonimidae","80","0","0","0","53","39","37","0","0"
"Trochamminidae","44","0","0","0","0","0","0","0","0"
"Orchidaceae","7872","793","7","0","111","10832","10970","10936","0"
"Cyphoderiidae","1","0","0","30","0","0","0","0","0"
"Trypanosomatidae","4052","39","5","177","8","650","2471","0","436"
"Varanidae","0","175","5","78","9","2","0","6","224"
"Alligatoridae","8","67","2","165","22","24","26","0","40"
"Clionaidae","53","0","8","22","107","86","135","0","0"
"Niphatidae","31","2","13","21","68","3","0","0","0"
"Mycalidae","70","46","3","14","38","4","1","0","0"
"Chalinidae","131","58","8","63","219","7","2","0","0"
"Suberitidae","64","1","7","39","45","37","32","0","1"
"Macrobiotidae","212","0","26","301","55","37","1","0","0"
"Milnesiidae","45","0","4","61","2","24","0","0","0"
"Corellidae","5","0","1","29","2","0","0","0","0"
"Pyuridae","88","5","5","615","29","1","1","0","3"
"Serranidae","95","1088","140","4893","267","77","88","1","1097"
"Lutjanidae","33","209","85","2463","140","0","7","0","221"
"Gonodactylidae","18","19","8","55","88","0","0","0","4"
"Acanthuridae","4","167","111","1264","117","0","3","0","141"
"Engraulidae","7","609","21","1316","109","0","37","0","299"
"Balistidae","0","96","0","445","62","0","0","0","125"
"Tegulidae","23","179","1","491","22","4","11","1","46"
"Clariidae","42","183","63","454","27","39","34","2","29"
"Esocidae","5","43","0","573","12","0","0","0","30"
"Fundulidae","54","53","0","277","16","0","0","0","40"
"Callichthyidae","0","503","5","152","22","0","0","0","498"
"Cobitidae","4","162","33","1094","256","1","0","1","353"
"Osteoglossidae","33","130","18","106","129","0","0","0","41"
"Doradidae","0","189","1","189","50","0","0","0","60"
"Petromyzontidae","21","65","0","545","25","1","1","0","71"
"Serrasalmidae","31","186","10","1374","15","0","0","0","112"
"Plecoglossidae","1","11","1","2","6","1","0","0","19"
"Aeromonadaceae","0","85701","0","0","3","0","3","1","0"
"Piscirickettsiaceae","1","8127","0","0","0","0","0","0","1"
"Iridoviridae","0","0","0","0","0","0","0","0","0"
"Micrococcaceae","1","108575","1","0","0","0","0","0","16"
"Rhabdoviridae","0","0","1","0","0","0","0","0","0"
